listing_id,host_id,occupancy,price,number_of_reviews,rating,accommodates,minimum_nights,bedrooms,bathrooms,beds,host_is_superhost,pro_host,entire_home,instant_bookable
573,177,67,49,19,4.85,3,2,1,1,1,0,0,1,0
574,913,58,99,56,4.65,4,6,2,1,2,1,1,1,1
575,552,76,60,12,5,4,2,1,1,2,0,1,1,0
576,1132,89,399,22,4.95,6,6,3,3,4,1,1,1,0
577,355,72,468,42,5,7,3,3,3,4,1,0,1,0
578,429,0,80,12,4.75,2,2,1,1,1,0,0,0,0
579,749,16,68,95,4.8,2,1,1,1,1,1,1,1,1
580,588,45,94,99,4.85,4,2,1,1,2,1,1,0,1
581,528,48,88,95,4.85,4,2,1,2,2,1,1,1,1
582,775,1,130,12,4,5,8,2,2,5,0,0,1,0
583,865,44,275,69,4.6,14,1,5,2,8,1,1,1,0
584,994,59,112,109,4.9,2,2,1,1,0,1,1,1,0
585,149,11,78,102,4.75,4,1,1,1,2,1,1,0,1
586,528,78,110,25,4.9,4,2,1,1,1,1,1,1,0
587,550,90,85,6,5,2,5,1,1,1,0,1,1,0
588,1114,53,110,50,4.95,4,2,1,1,1,1,1,1,0
589,992,24,112,78,4.9,2,2,1,1,1,1,1,1,0
590,992,25,83,363,4.7,3,1,1,1,2,0,0,1,0
591,130,39,99,43,4.85,4,6,2,1,2,1,1,1,1
592,453,19,168,3,5,6,2,2,2,3,1,1,1,0
593,341,7,490,3,4.65,10,15,4,2,6,0,0,1,0
594,258,13,35,44,5,2,1,1,1,1,1,1,0,0
595,906,38,99,49,4.7,4,6,2,1,2,1,1,1,1
596,631,6,38,17,4.6,2,4,1,1,1,1,1,0,0
597,631,87,119,16,4.65,4,120,2,2,2,0,1,1,0
598,1123,0,188,59,4.7,4,4,2,1,2,1,1,1,0
599,919,53,140,40,4.95,6,3,3,2,4,1,1,1,0
600,148,0,57,74,4.55,2,1,1,1,1,0,1,0,0
601,182,19,103,12,4.55,2,7,1,1,2,0,1,1,0
602,716,75,60,11,4.9,1,2,1,1,1,1,1,0,0
603,40,24,230,76,4.9,6,1,2,2,3,1,1,1,0
604,207,0,165,8,4.7,2,3,1,1.5,1,0,1,1,0
605,345,13,76,141,4.55,3,2,1,1,1,0,1,1,0
606,820,44,125,1,5,1,2,1,1,2,1,1,1,0
607,1103,1,79,77,4.9,2,1,1,1,2,0,1,0,0
608,314,69,100,5,4.6,4,1,1,1,2,0,1,1,1
609,528,66,40,105,4.8,2,1,1,1.5,1,0,1,0,0
610,1041,73,86,84,4.95,2,2,1,1,1,1,1,1,1
611,947,19,119,6,5,4,2,1,1,2,1,1,1,0
612,1035,23,145,56,4.75,6,1,2,2,5,1,0,1,0
613,659,90,87,5,4.2,4,1,1,1,2,0,1,1,1
614,75,26,90,8,4,6,1,2,1.5,0,0,1,1,1
615,317,52,121,13,4.55,6,1,2,1.5,0,0,1,1,1
616,619,35,102,16,4.3,6,1,2,1.5,0,0,1,1,1
617,70,52,128,14,4.3,6,1,2,2,4,0,1,1,1
618,390,42,120,6,4.5,6,1,2,2,4,0,1,1,1
619,32,83,138,26,4.75,4,1,1,1,1,1,1,1,0
620,864,36,183,38,4.75,8,2,2,2,3,1,1,1,0
621,928,90,40,75,4.85,2,1,1,1,1,1,0,0,0
622,586,47,164,110,4.75,3,1,1,1,1,1,1,1,1
623,469,23,423,78,4.45,10,2,4,3,7,0,1,1,0
624,300,28,165,24,4.65,8,2,2,2,3,1,1,1,0
625,1084,66,88,24,4.5,2,1,1,1,1,0,1,0,0
626,612,69,65,7,3.35,2,1,1,1,1,0,0,0,1
627,386,43,995,146,4.9,16,3,8,8,8,1,1,1,1
628,447,18,2956,45,4.95,15,4,7,5.5,7,1,1,1,1
629,576,34,288,32,4.9,8,7,3,3,8,1,0,1,0
630,1027,0,59,1,5,1,1,1,2,1,1,0,0,0
631,537,11,249,7,4.8,4,1,1,1,2,0,0,1,0
632,1029,0,170,43,4,4,1,1,1,2,0,1,1,0
633,655,3,245,64,4.95,4,2,2,1,2,1,1,1,0
634,616,44,87,55,4.85,5,3,1,1,2,1,1,1,0
635,278,19,120,10,4.4,4,2,1,1,2,1,1,1,0
636,984,40,443,65,4.65,10,1,5,4,8,1,1,1,0
637,370,0,849,2,4,8,10,4,4.5,3,0,1,1,0
638,378,90,70,23,4.85,4,20,1,1,2,0,1,1,0
639,626,19,219,5,5,6,2,2,2,3,1,1,1,0
640,847,53,50,21,4.95,1,1,1,1,1,0,1,0,0
641,218,0,60,60,4.55,2,3,1,1,1,0,0,0,0
642,399,90,49,152,4.6,2,2,1,1,1,0,1,1,1
643,751,50,1450,3,5,8,7,4,4.5,6,0,0,1,1
644,479,0,150,1,5,5,153,2,1.5,3,0,1,1,0
645,919,80,45,43,4.65,1,2,1,1,1,1,1,0,0
646,1146,1,60,77,4.9,2,5,1,1,1,0,1,0,0
647,407,25,180,129,4.9,5,4,2,1,2,1,1,1,0
648,907,55,935,138,4.95,13,3,4,4,10,1,1,1,0
649,199,90,50,52,4.85,2,2,1,1,1,1,1,0,0
650,714,90,50,75,4.85,2,2,1,1,1,1,1,0,0
651,313,18,67,483,4.85,2,2,1,1,1,1,0,1,1
652,742,6,40,21,4.9,2,14,1,1,0,1,1,0,0
653,368,19,155,2,5,6,2,2,2,3,1,1,1,0
654,831,34,212,25,4.85,8,2,2,2,4,1,1,1,0
655,51,19,180,2,5,4,2,1,1,2,1,1,1,0
656,327,19,156,2,5,4,2,1,1,2,1,1,1,0
657,218,3,224,30,4.45,6,1,1,1,2,0,1,0,1
658,229,0,35,29,4.6,2,180,1,1,1,1,1,0,1
659,76,19,148,3,4.65,4,2,1,1,2,1,1,1,0
660,882,0,153,35,4.85,4,6,2,1,3,0,0,1,0
661,258,3,425,8,4.9,12,3,4,4,5,0,1,1,0
662,485,54,144,26,4.85,7,4,3,2,5,0,0,1,1
663,219,41,629,67,4.7,15,3,5,4,9,1,1,1,1
664,258,51,685,45,4.4,12,3,4,3,10,1,1,1,1
665,182,88,80,79,4.95,5,15,2,1,3,1,1,1,0
666,487,2,160,4,4.25,4,118,2,2,2,0,1,1,1
667,531,34,175,107,4.85,6,3,2,2,6,1,0,1,1
668,1141,29,500,9,4.75,6,5,3,3,5,0,1,1,0
669,332,26,81,7,3.8,2,4,1,1,1,0,1,1,0
670,1041,16,66,97,4.85,5,1,2,1,2,1,1,1,0
671,734,18,170,12,5,4,4,2,2,2,0,0,1,0
672,112,24,125,104,4.65,6,4,3,1,4,0,1,1,0
673,627,19,153,7,4.85,8,2,2,2,4,1,1,1,0
674,237,55,241,56,4.85,7,5,3,2,3,0,1,1,0
675,311,0,136,11,5,2,1,1,1,1,1,1,0,0
676,314,13,160,13,4.55,6,3,2,2,4,0,1,1,0
677,871,0,125,5,4.75,2,30,1,1.5,1,0,1,1,0
678,792,39,295,26,4.05,6,2,3,2.5,4,0,1,1,1
679,198,89,67,11,4.9,4,30,1,1.5,2,1,0,1,0
680,506,41,879,37,4.95,6,3,3,5,3,1,0,1,0
681,939,0,120,47,4.9,1,2,1,1,1,0,0,0,0
682,140,11,289,49,4.7,16,5,4,2,10,0,0,1,0
683,590,29,220,5,5,5,4,3,2,3,0,1,1,0
684,943,3,89,136,4.7,2,1,1,1,1,0,1,1,0
685,139,11,50,214,4.85,2,1,1,1,1,1,1,0,0
686,297,45,59,41,4.05,4,7,1,1,2,0,1,1,1
687,23,0,80,104,4.95,2,1,1,1,0,1,0,0,0
688,264,73,650,40,5,10,3,5,3.5,15,1,1,1,1
689,992,19,143,28,4.9,8,2,2,2,4,1,1,1,0
690,341,51,273,6,4.2,6,5,3,2,5,0,1,1,0
691,78,68,199,38,4.8,5,15,4,2,6,0,1,1,0
692,78,12,36,83,4.95,2,1,1,3,1,1,1,0,0
693,41,19,123,3,4.35,4,2,1,1,2,1,1,1,0
694,484,45,389,29,4.9,10,4,4,3,7,0,1,1,1
695,20,19,139,4,5,2,2,1,1,1,1,1,1,0
696,631,25,141,68,4.45,6,2,2,1.5,3,0,0,1,1
697,701,12,50,145,4.95,2,1,1,1,1,1,1,0,0
698,428,82,85,69,4.85,4,3,1,1,1,1,0,1,1
699,510,68,350,30,4.55,6,7,3,3,3,1,1,1,0
700,913,90,65,63,4.85,2,3,1,1,1,1,0,0,0
701,583,44,355,28,4.75,8,7,4,3,8,1,1,1,0
702,918,77,328,18,4.7,10,7,4,4.5,5,1,1,1,0
703,925,0,55,9,5,2,1,1,1,1,1,1,0,0
704,892,39,105,13,5,4,1,1,1,1,1,1,1,0
705,953,0,200,5,4,6,14,3,1,2,0,1,1,0
706,684,77,375,13,4.8,6,4,3,3,3,0,0,1,1
707,735,0,52,18,4.65,2,5,1,1,1,1,1,1,0
708,753,34,69,17,4.55,4,30,1,1,2,0,1,1,0
709,229,56,71,38,4.3,4,2,1,1,0,0,1,1,0
710,650,61,94,18,4.4,4,2,1,1,1,0,1,1,0
711,128,14,63,223,4.8,4,1,1,1,2,0,0,1,1
712,754,11,474,30,4.7,12,3,3,2,8,1,1,1,1
713,478,16,78,316,4.9,6,1,2,1,3,1,1,1,1
714,452,62,209,59,4.9,4,4,2,2,2,1,1,1,1
715,931,28,88,22,4.75,3,2,1,1.5,1,0,1,1,0
716,204,66,130,14,4.3,6,2,2,2,4,0,1,1,0
